片名,上周平均票房,排片比,黄金场占比,场次,排座占比,座位数,总票价,第二周平均票房
悟空传,6875,18.8,26.5,358000,21.86,7113571,36,2242.7
捉妖记,13796.242857142857,30.429,27.486,49142.857,38.943,4601285.714,36.686,8457.65
红海行动,20664.35714285714,32.057,26.157,99857.143,39.157,14836000.000,38.943,16445.32857142857
战狼2,26310.614285714288,53.771,26.457,146428.571,58.529,19343000.000,35.614,28504.671428571426
寒战2,6534.3,12.300,25.871,26571.429,13.571,3613714.286,36.500,2352.5571428571425
芳华,7840.914285714286,23.157,26.614,61571.429,25.000,8093142.857,34.086,6107.5428571428565
大鱼海棠,5145.2,13.200,26.414,28571.429,13.129,3496000.000,33.171,2117.714285714286
港囧,15082.57142857143,27.057,25.957,47285.714,29.557,5389142.857,32.971,6277.14
功夫熊猫3,7631.857142857143,20.414,18.771,33796.286,24.986,4519571.429,36.600,2661.15
功夫瑜伽,14512.385714285714,23.757,26.357,66142.857,27.871,9420857.143,37.571,7048.58
霍比特人3：五军之战,6385.857142857144,19.614,25,22714.286,23.214,2591857.143,44.986,2802.15
金刚：骷髅岛,9708.828571428572,25.257,25.900,63428.571,32.000,9809428.571,35.557,4924.15
湄公河行动,7009.671428571428,30.714,27.500,63285.714,36.414,9134714.286,30.243,4438.21
你的名字。,5247.428571428572,19.929,26.314,42857.143,21.286,6224285.714,26.757,1940.18
唐人街探案2,30658.014285714282,30.657,24.586,95857.143,32.000,12174714.286,37.386,11174.328
寻龙诀,13154.514285714287,24.871,24.457,40000.000,28.100,4832285.714,36.914,6305.771
西游记之孙悟空三打白骨精,10954.82857142857,15.214,24.729,31857.143,14.586,3343142.857,36.343,3766.74
叶问3,8656.9,18.557,26.443,35000.000,16.457,3530285.714,36.986,1829.5
美人鱼,25928.85714285714,34.557,26.900,73571.429,42.529,9771000.000,36.357,13147.1
惊天魔盗团2,6225.314285714287,15.286,25.357,31571.429,15.714,3942571.429,33.300,2310.49
绝地逃亡,7835.099999999999,22.514,27.057,49142.857,24.629,6565000.000,34.757,3579.27
老炮儿,5693.671428571428,19.000,25.786,31857.143,19.886,3579857.143,31.600,4991.25
雷神3：诸神黄昏,6900.028571428571,23.329,27.114,64142.857,29.800,9905714.286,35.186,2886.814
