分账票房,分账票房占比,分账票价,排片占比,场均人次,网售占比,黄金场占比,场次,排座占比,座位数,综合票房,综合票房占比,综合票价
9606.9,58.1%,32.5,14.4%,78,91.2%,45.2%,3.7万,16.6%,511.1万,10209.6,58.2%,34.5
20182.6,73.2%,32.8,41.9%,54,87.8%,27.3%,11.4万,48.6%,1557.7万,21471.6,73.4%,34.9
29280.8,77.6%,33.4,46.1%,69,87.8%,26.8%,12.8万,53.8%,1768.2万,31262.0,77.7%,35.7
34280.8,80.2%,33.5,48.8%,76,88.2%,27.1%,13.5万,56.6%,1856.4万,36713.4,80.4%,35.9
25399.0,86.1%,32.9,51.9%,58,87.4%,27.9%,13.4万,60.0%,1844.8万,27310.1,86.1%,35.3
27215.8,86.1%,33.0,56.3%,57,86.1%,28.0%,14.4万,64.1%,1995.3万,29283.6,86.2%,35.5
25953.1,88.7%,33.0,59.0%,52,86.0%,28.1%,15.1万,66.7%,2077.6万,27924.0,88.8%,35.5
21287.8,54.5%,33.0,44.6%,54,86.2%,24.0%,12.0万,45.9%,1507.4万,22834.1,54.7%,35.4
24950.4,66.1%,33.2,43.3%,62,86.2%,26.2%,12.2万,45.0%,1547.0万,26616.3,66.2%,35.4
37806.9,76.8%,33.8,50.9%,77,86.7%,26.1%,14.6万,54.9%,1901.5万,40572.7,76.9%,36.2
39779.2,81.0%,33.8,56.2%,74,86.7%,26.6%,16.0万,61.6%,2102.7万,42647.3,81.1%,36.2
22636.2,83.5%,33.0,59.2%,44,84.7%,27.4%,15.7万,66.0%,2129.9万,24324.6,83.6%,35.5
21331.4,84.0%,32.9,60.8%,41,82.5%,27.4%,16.0万,67.9%,2172.6万,22885.9,84.2%,35.3
18357.7,84.2%,32.9,61.4%,35,81.9%,27.5%,16.0万,68.4%,2179.0万,19651.8,84.3%,35.3
15380.3,81.3%,32.9,60.8%,30,81.1%,27.6%,15.9万,67.7%,2167.3万,16467.9,81.5%,35.3
14149.3,47.0%,33.6,32.7%,45,81.3%,25.9%,9.5万,38.4%,1342.1万,15080.4,47.3%,35.8
20387.7,59.2%,34.0,37.3%,56,82.4%,26.0%,10.8万,44.3%,1548.5万,21748.1,59.5%,36.3
18846.8,59.5%,33.8,39.2%,50,82.5%,26.3%,11.3万,46.7%,1620.7万,20158.1,59.7%,36.2
9327.7,57.5%,33.1,40.7%,26,80.5%,27.0%,10.9万,49.2%,1603.6万,9978.9,57.4%,35.4
8113.3,53.8%,33.1,40.7%,23,77.3%,27.0%,10.9万,49.9%,1618.4万,8654.0,53.5%,35.3
7063.7,48.2%,33.1,39.0%,21,77.8%,26.8%,10.5万,48.1%,1568.5万,7538.7,48.0%,35.3
5697.2,33.7%,33.3,25.4%,24,77.7%,26.0%,7.2万,30.9%,1058.0万,6032.5,33.6%,35.3
5958.0,31.0%,33.5,24.2%,25,77.2%,26.7%,7.0万,29.7%,1043.1万,6307.1,30.8%,35.5
8563.6,34.4%,34.1,25.6%,33,79.4%,26.6%,7.6万,31.5%,1125.6万,9131.0,34.3%,36.4
8346.4,36.5%,33.9,26.2%,32,79.4%,26.7%,7.7万,32.2%,1144.8万,8901.6,36.2%,36.2
4221.6,35.1%,33.1,26.8%,18,77.4%,27.1%,7.4万,32.8%,1107.7万,4503.9,34.9%,35.3
3687.0,34.7%,33.0,27.1%,15,74.8%,27.1%,7.5万,33.3%,1116.0万,3923.3,34.5%,35.1
3345.4,34.2%,33.1,27.2%,14,75.4%,27.3%,7.5万,33.3%,1110.1万,3562.7,34.0%,35.3
3032.4,33.1%,33.1,26.7%,13,74.9%,27.3%,7.5万,32.3%,1101.9万,3227.8,33.0%,35.2
2449.3,16.7%,32.6,12.6%,22,76.0%,24.6%,3.4万,11.0%,362.4万,2612.5,16.8%,34.8
3760.0,20.4%,33.0,15.3%,27,78.5%,25.7%,4.2万,13.9%,465.1万,4016.1,20.5%,35.3
4012.9,23.4%,32.9,17.4%,26,79.0%,26.4%,4.8万,16.6%,549.9万,4289.7,23.4%,35.2
5384.8,25.2%,32.3,18.4%,34,82.8%,26.1%,4.9万,18.2%,587.2万,5791.5,25.1%,34.7
2072.4,25.4%,32.2,20.2%,13,74.1%,27.5%,5.2万,20.4%,638.1万,2209.6,25.3%,34.3
1789.8,24.9%,32.2,20.6%,11,73.9%,27.7%,5.3万,21.1%,655.0万,1894.1,24.8%,34.1
1481.8,22.5%,32.4,19.4%,9,73.2%,26.8%,5.1万,20.1%,639.6万,1576.9,22.5%,34.5
1254.1,10.7%,32.7,10.9%,13,76.5%,26.4%,2.9万,9.8%,329.3万,1340.2,10.7%,35.0
2241.1,13.6%,33.0,12.4%,20,77.2%,26.5%,3.4万,11.3%,386.3万,2390.7,13.6%,35.3
1885.6,14.7%,33.2,13.5%,16,77.4%,27.1%,3.7万,12.5%,423.7万,2012.1,14.7%,35.4
798.1,16.5%,32.7,14.7%,7,76.9%,28.2%,3.7万,13.7%,430.8万,853.1,16.4%,35.0
731.6,17.3%,32.7,15.5%,6,74.4%,28.2%,3.9万,14.6%,455.5万,780.0,17.2%,34.8
705.4,17.5%,32.8,15.9%,6,74.8%,28.2%,4.0万,15.1%,464.7万,752.0,17.4%,34.9
644.4,14.2%,32.8,15.8%,5,74.5%,28.1%,4.0万,15.1%,475.4万,685.8,14.2%,34.9
532.4,3.3%,32.5,7.1%,9,73.1%,22.8%,1.8万,5.5%,170.3万,566.1,3.3%,34.5
953.5,4.2%,32.4,7.1%,16,76.9%,23.6%,1.9万,5.4%,174.9万,1016.2,4.2%,34.5
866.2,5.1%,32.6,7.6%,14,76.0%,24.3%,2.0万,5.8%,186.3万,921.7,5.0%,34.7
379.3,6.8%,32.5,8.9%,6,76.2%,26.1%,2.1万,6.9%,204.1万,404.1,6.8%,34.6
362.4,7.4%,32.4,9.5%,5,73.4%,26.5%,2.3万,7.4%,218.5万,385.4,7.4%,34.5
343.0,7.9%,32.5,10.0%,5,73.7%,26.9%,2.4万,7.9%,229.0万,364.6,7.9%,34.5
341.6,7.2%,32.6,10.2%,5,72.6%,27.0%,2.4万,8.0%,240.1万,362.4,7.1%,34.6
158.6,0.9%,32.3,2.5%,8,71.2%,21.7%,6573,1.7%,54.3万,168.2,0.9%,34.3
301.2,1.2%,32.0,2.6%,14,77.7%,22.5%,6821,1.7%,55.3万,320.9,1.2%,34.1
269.9,1.5%,32.2,2.8%,12,78.6%,22.9%,7292,1.9%,60.0万,288.4,1.5%,34.4
141.1,2.2%,31.6,3.5%,6,74.9%,24.0%,8335,2.4%,70.2万,150.3,2.2%,33.7
146.1,2.6%,32.1,4.0%,5,71.7%,24.5%,9325,2.8%,80.2万,155.4,2.6%,34.1
150.1,3.0%,31.1,4.3%,5,71.3%,24.5%,1.0万,3.1%,87.4万,159.3,3.0%,33.0
140.9,3.1%,32.1,4.5%,5,74.0%,24.9%,1.0万,3.3%,92.7万,150.0,3.1%,34.1
108.5,1.4%,32.2,1.9%,7,66.2%,25.4%,5052,1.3%,41.1万,114.7,1.4%,34.1
226.1,1.6%,32.5,2.1%,12,73.7%,26.3%,5821,1.4%,48.5万,240.1,1.6%,34.5
215.3,1.9%,30.6,2.4%,11,73.7%,27.0%,6594,1.7%,54.9万,228.5,1.9%,32.5
111.0,2.9%,31.8,3.0%,5,73.1%,27.0%,7421,2.1%,62.6万,117.9,2.8%,33.8
116.6,3.2%,31.6,3.3%,5,69.8%,26.9%,8031,2.3%,69.2万,123.3,3.1%,33.4
115.4,3.4%,31.9,3.5%,5,70.5%,27.3%,8482,2.6%,74.6万,122.1,3.3%,33.8
115.1,3.4%,31.9,3.5%,5,68.9%,27.5%,8495,2.6%,75.7万,121.6,3.3%,33.7
48.5,0.5%,31.7,1.1%,6,70.3%,11.3%,3034,0.7%,24.7万,51.3,0.5%,33.6
13.8,0.0%,32.9,0.0%,14,63.5%,16.6%,301,0.0%,2.4万,14.5,0.0%,34.7
63.9,0.1%,34.2,0.2%,30,84.8%,21.0%,640,0.1%,4.8万,68.5,0.1%,36.7
114.8,0.3%,33.4,0.3%,32,84.2%,22.6%,1094,0.2%,9.6万,123.2,0.3%,35.8
153.2,0.4%,33.3,0.5%,29,83.9%,21.5%,1639,0.4%,15.5万,164.0,0.4%,35.6
181.7,0.5%,33.2,0.6%,27,84.7%,21.2%,2065,0.5%,20.0万,194.6,0.5%,35.5
145.3,0.4%,33.0,0.7%,20,83.4%,22.7%,2205,0.5%,21.2万,155.5,0.4%,35.3
139.6,0.4%,33.1,0.7%,18,80.6%,21.9%,2401,0.6%,22.8万,148.9,0.4%,35.3
132.4,0.4%,33.2,0.7%,17,80.0%,22.4%,2434,0.6%,23.0万,141.1,0.4%,35.3
98.2,0.4%,33.1,0.8%,13,75.3%,22.1%,2462,0.6%,23.2万,104.4,0.4%,35.1
29.1,0.2%,32.9,0.6%,5,81.0%,22.3%,1838,0.4%,16.5万,30.9,0.2%,34.9
30.3,0.3%,32.6,0.7%,5,77.8%,23.0%,1876,0.5%,16.5万,32.3,0.3%,34.7
28.9,0.3%,32.6,0.7%,5,76.3%,23.7%,1914,0.5%,17.3万,30.8,0.3%,34.8
26.5,0.3%,32.8,0.7%,5,75.4%,24.0%,1890,0.5%,16.9万,28.2,0.3%,34.9
14.6,0.1%,32.5,0.2%,8,69.1%,23.7%,635,0.1%,5.2万,15.5,0.1%,34.5
32.2,0.1%,33.2,0.2%,12,76.9%,22.8%,821,0.1%,6.7万,34.5,0.1%,35.6
36.9,0.2%,33.3,0.3%,11,78.7%,24.2%,1025,0.2%,8.5万,39.6,0.2%,35.8
18.5,0.2%,33.0,0.4%,6,76.5%,24.2%,1104,0.2%,9.4万,19.8,0.2%,35.3
16.9,0.2%,32.4,0.4%,5,75.9%,25.2%,1233,0.3%,10.7万,18.0,0.2%,34.7
18.5,0.2%,32.5,0.5%,5,76.8%,25.6%,1312,0.3%,11.3万,19.8,0.2%,34.8
18.3,0.2%,31.4,0.5%,5,70.8%,26.9%,1352,0.3%,11.7万,19.6,0.2%,33.5
